product_id,product_name,category,brand,price,avg_rating,num_ratings,stock_quantity,discount_pct,is_featured,weight_kg
P0000,PetLife Health #0,Health,PetLife,34.82,4.0,137,126,0,0,0.35
P0001,GlowUp Beauty #1,Beauty,GlowUp,53.35,5.0,494,51,10,0,1.76
P0002,EcoLiving Office Supplies #2,Office Supplies,EcoLiving,51.45,3.5,433,928,0,0,0.21
P0003,DigiTools Electronics #3,Electronics,DigiTools,179.9,4.0,267,127,0,1,0.25
P0004,StyleMax Pet Supplies #4,Pet Supplies,StyleMax,12.54,3.7,402,580,0,0,1.23
P0005,GlowUp Health #5,Health,GlowUp,26.06,3.4,76,639,0,0,4.8
P0006,PlayTime Sports #6,Sports,PlayTime,43.06,3.4,375,220,0,0,3.16
P0007,PetLife Sports #7,Sports,PetLife,57.53,2.5,95,918,0,0,1.46
P0008,PureBrand Clothing #8,Clothing,PureBrand,18.35,4.1,409,802,40,0,0.12
P0009,HomeEssentials Food & Grocery #9,Food & Grocery,HomeEssentials,20.37,4.3,120,48,0,0,0.09
P0010,StyleMax Jewelry #10,Jewelry,StyleMax,57.47,3.6,271,28,0,0,0.84
P0011,UrbanStyle Music #11,Music,UrbanStyle,21.01,4.2,365,989,0,0,5.84
P0012,PetLife Automotive #12,Automotive,PetLife,75.31,2.6,12,110,0,0,0.41
P0013,PureBrand Books #13,Books,PureBrand,10.75,5.0,92,470,0,0,2.37
P0014,EcoLiving Home & Garden #14,Home & Garden,EcoLiving,117.43,3.4,110,767,0,0,1.36
P0015,FreshMarket Beauty #15,Beauty,FreshMarket,23.98,3.6,103,381,0,0,0.56
P0016,GlowUp Home & Garden #16,Home & Garden,GlowUp,37.26,4.5,393,956,0,0,0.66
P0017,StyleMax Home & Garden #17,Home & Garden,StyleMax,78.39,2.8,489,682,10,1,0.19
P0018,DigiTools Home & Garden #18,Home & Garden,DigiTools,93.25,3.6,208,753,0,0,1.55
P0019,PlayTime Electronics #19,Electronics,PlayTime,181.34,3.4,378,989,30,1,0.52
P0020,TechPro Electronics #20,Electronics,TechPro,219.43,4.4,112,127,0,0,2.34
P0021,ReadMore Toys #21,Toys,ReadMore,40.48,3.0,190,204,0,0,0.8
P0022,PureBrand Music #22,Music,PureBrand,16.22,4.4,82,102,15,0,0.74
P0023,ClassicCo Clothing #23,Clothing,ClassicCo,39.83,4.0,292,962,40,0,0.12
P0024,EcoLiving Jewelry #24,Jewelry,EcoLiving,133.52,2.7,144,550,0,0,1.33
