review_id,customer_id,product_id,review_date,rating,review_text,helpful_votes,verified_purchase
R22520,C06622,P0077,2023-01-01,4,Great product! Highly recommend.,0,0
R11296,C01152,P0726,2023-01-01,5,Love it! Exactly what I needed.,3,1
R15342,C05432,P0167,2023-01-01,3,"Average quality, meets expectations.",42,1
R06757,C00693,P0443,2023-01-01,3,"Not bad, not great.",43,1
R08506,C05569,P0972,2023-01-01,4,Amazing value for the price.,46,1
R10659,C01852,P0203,2023-01-01,2,Would not recommend. Poor value.,27,1
R04131,C04654,P0914,2023-01-01,4,Love it! Exactly what I needed.,44,1
R20385,C08839,P0856,2023-01-01,3,Decent product for the price.,5,1
R05847,C03188,P0282,2023-01-01,2,Terrible experience. Avoid.,44,1
R13415,C04493,P0791,2023-01-01,4,Amazing value for the price.,1,1
R01846,C02343,P0078,2023-01-01,3,"It is okay, nothing special.",22,1
R23111,C09008,P0801,2023-01-01,4,Amazing value for the price.,40,1
R20361,C04253,P0257,2023-01-01,4,Perfect. Will buy again.,20,1
R14451,C04889,P0703,2023-01-01,5,Great product! Highly recommend.,31,1
R23394,C06544,P0773,2023-01-01,3,"Average quality, meets expectations.",10,1
R22086,C07927,P0049,2023-01-01,5,Great product! Highly recommend.,26,1
R04603,C02570,P0715,2023-01-01,3,"Not bad, not great.",41,1
R07030,C05155,P0907,2023-01-01,4,Perfect. Will buy again.,2,1
R05954,C05521,P0016,2023-01-01,4,Love it! Exactly what I needed.,24,1
R12271,C08490,P0317,2023-01-01,4,Amazing value for the price.,15,1
R08257,C02525,P0961,2023-01-01,4,Amazing value for the price.,45,1
R22015,C02384,P0573,2023-01-01,4,"Excellent quality, fast shipping.",25,0
R05388,C01113,P0682,2023-01-01,2,Terrible experience. Avoid.,23,1
R11990,C00536,P0025,2023-01-01,5,Love it! Exactly what I needed.,48,1
R17017,C05462,P0335,2023-01-01,2,Not as described. Returning it.,5,1
R19216,C03874,P0584,2023-01-01,3,"Average quality, meets expectations.",29,1
R23633,C06581,P0201,2023-01-01,3,"Not bad, not great.",24,1
R16059,C00748,P0928,2023-01-01,3,"Average quality, meets expectations.",33,0
R19574,C05074,P0043,2023-01-01,4,"Excellent quality, fast shipping.",8,1
R12297,C05348,P0197,2023-01-01,1,Disappointed with the quality.,13,0
R06404,C03165,P0323,2023-01-01,2,Broke after a week of use.,4,1
R14450,C01139,P0197,2023-01-01,3,Fine for basic use.,38,1
R19025,C03641,P0586,2023-01-01,5,"Excellent quality, fast shipping.",41,1
R17245,C03947,P0461,2023-01-01,4,Great product! Highly recommend.,30,1
R10431,C04984,P0137,2023-01-01,2,Would not recommend. Poor value.,46,0
R24345,C02123,P0397,2023-01-01,3,Fine for basic use.,17,0
R02453,C09494,P0059,2023-01-01,4,Amazing value for the price.,31,1
R08006,C06017,P0181,2023-01-01,3,"Not bad, not great.",28,1
R24335,C00757,P0049,2023-01-01,3,"Average quality, meets expectations.",21,1
R05802,C00545,P0169,2023-01-01,5,Perfect. Will buy again.,48,1
R21022,C03247,P0331,2023-01-01,5,Amazing value for the price.,12,1
R14265,C03461,P0710,2023-01-02,4,"Excellent quality, fast shipping.",44,1
R09776,C00831,P0419,2023-01-02,3,"It is okay, nothing special.",18,1
R10813,C07870,P0179,2023-01-02,3,"Average quality, meets expectations.",42,0
R19975,C08368,P0690,2023-01-02,5,Amazing value for the price.,28,1
R24766,C07605,P0003,2023-01-02,3,Decent product for the price.,18,1
R02595,C03840,P0843,2023-01-02,1,Broke after a week of use.,37,1
R16371,C07091,P0488,2023-01-02,4,Love it! Exactly what I needed.,11,1
R20199,C04621,P0389,2023-01-02,1,Would not recommend. Poor value.,7,0
R23320,C01172,P0984,2023-01-02,2,Would not recommend. Poor value.,39,0
R18911,C09398,P0531,2023-01-02,5,"Excellent quality, fast shipping.",9,0
R16267,C01668,P0687,2023-01-02,5,Great product! Highly recommend.,12,0
R21142,C05298,P0940,2023-01-02,3,Decent product for the price.,36,1
R00371,C07007,P0664,2023-01-02,3,"It is okay, nothing special.",39,0
R18771,C01157,P0744,2023-01-02,3,"Not bad, not great.",43,0
R20789,C09678,P0453,2023-01-02,2,Terrible experience. Avoid.,10,1
R18418,C00387,P0146,2023-01-02,4,Great product! Highly recommend.,23,1
R13160,C04462,P0937,2023-01-02,5,Perfect. Will buy again.,48,1
R19403,C07500,P0302,2023-01-02,2,Would not recommend. Poor value.,24,1
R09172,C04377,P0517,2023-01-02,5,Amazing value for the price.,19,1
R22774,C09049,P0976,2023-01-02,2,Disappointed with the quality.,10,1
R23339,C04441,P0396,2023-01-02,4,"Excellent quality, fast shipping.",0,1
R00756,C05409,P0020,2023-01-02,4,Love it! Exactly what I needed.,22,1
R19431,C00915,P0140,2023-01-02,2,Not as described. Returning it.,37,1
R00762,C07256,P0053,2023-01-02,4,Great product! Highly recommend.,17,1
R20121,C01909,P0119,2023-01-02,4,Amazing value for the price.,12,1
R08811,C06185,P0518,2023-01-03,5,"Excellent quality, fast shipping.",3,0
R18970,C03615,P0917,2023-01-03,5,"Excellent quality, fast shipping.",7,1
R24759,C04193,P0681,2023-01-03,4,Great product! Highly recommend.,21,1
R11743,C00927,P0805,2023-01-03,3,"It is okay, nothing special.",45,1
R09516,C05786,P0739,2023-01-03,2,Terrible experience. Avoid.,0,1
R16060,C00236,P0599,2023-01-03,3,Fine for basic use.,28,1
R19430,C01782,P0261,2023-01-03,3,"Not bad, not great.",23,1
R13922,C07816,P0299,2023-01-03,5,Love it! Exactly what I needed.,28,1
